client,total_sites,attribute,total_sites_using,pct_sites_using
mobile,7940685,cols,303239,0.038188015265685514
desktop,5430532,data-slide,205045,0.03775781083694931
desktop,5430532,data-original-title,205029,0.03775486453260933
mobile,7940685,data-animation,298698,0.0376161502439651
mobile,7940685,data-ride,298234,0.0375577169979668
desktop,5430532,cols,202542,0.037296898351763696
mobile,7940685,data-key,293899,0.03701179432253011
desktop,5430532,data-animation,200811,0.03697814505098211
mobile,7940685,rx,292904,0.03688649027130531
mobile,7940685,aria-pressed,289424,0.03644824092631807
mobile,7940685,data-slide,287242,0.036173453549662275
desktop,5430532,aria-pressed,196202,0.03612942525704664
desktop,5430532,autocapitalize,194729,0.03585818111374724
desktop,5430532,data-prefix,194503,0.035816564564945017
mobile,7940685,onfocus,284379,0.035812905309806395
mobile,7940685,data-slideactive,284078,0.0357749992601394
desktop,5430532,preload,193926,0.03571031346468449
mobile,7940685,data-bgcolor,279318,0.03517555475377754
desktop,5430532,data-key,188135,0.034643935437633
desktop,5430532,onchange,188040,0.034626441755614364
mobile,7940685,data-prefix,273945,0.03449891287716362
desktop,5430532,playsinline,187159,0.034464210872894224
desktop,5430532,onkeypress,186679,0.03437582174269482
desktop,5430532,onmouseover,186467,0.03433678321019009
mobile,7940685,autocapitalize,271968,0.03424994191307173
desktop,5430532,onblur,185751,0.03420493609097598
desktop,5430532,autocorrect,181776,0.03347296360651222
mobile,7940685,autoplay,264849,0.03335341976164525
mobile,7940685,loop,264514,0.033311231965504236
desktop,5430532,enable-background,180094,0.03316323336277183
mobile,7940685,enable-background,262768,0.033091351690691675
desktop,5430532,data-locale,177889,0.032757195795918334
desktop,5430532,data-lazy-src,177738,0.032729390048709776
mobile,7940685,spellcheck,259775,0.03271443206725868
desktop,5430532,data-layout,177281,0.032645236230999096
mobile,7940685,data-text,258911,0.032605625333330814
mobile,7940685,autocorrect,258171,0.032512434380661114
mobile,7940685,data-speed,256852,0.032346327804213364
mobile,7940685,muted,256612,0.03231610371145562
mobile,7940685,data-transition,255948,0.03223248372149254
mobile,7940685,data-hide-cover,253180,0.03188389918501993
mobile,7940685,data-thumb,252370,0.03178189287196256
mobile,7940685,data-layout,251108,0.031622964517544774
mobile,7940685,aria-relevant,249769,0.03145433926670054
mobile,7940685,data-show-facepile,249142,0.03137537882437094
desktop,5430532,readonly,170163,0.03133449908775052
desktop,5430532,data-bgcolor,170065,0.03131645297366814
desktop,5430532,data-slideactive,169591,0.031229168707596237
mobile,7940685,valign,246815,0.031082331058340684
desktop,5430532,data-source-attribution,165368,0.030451528505862777
mobile,7940685,onblur,241708,0.03043918755119993
mobile,7940685,data-lazy-src,240648,0.030305697808186573
desktop,5430532,data-hide-cover,163830,0.030168315001182205
desktop,5430532,data-speed,163697,0.03014382384635612
mobile,7940685,gapi_processed,239352,0.030142487707294774
desktop,5430532,data-text,163689,0.03014235069418613
desktop,5430532,xmlns:fb,163069,0.03002818140101191
desktop,5430532,onmouseout,162665,0.029953787216427413
mobile,7940685,data-locale,237387,0.029895027947840772
desktop,5430532,data-show-facepile,161068,0.029659709214493166
mobile,7940685,data-original-title,233256,0.02937479575124816
